name,power,gender,description,in_endgame,movies_in,strength,intelligence,agility
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,respons actual tv pretti stori life polic guess sea three state around pay ironman save day,True,9,66,100,61
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,near box simpl statement happen state among rest nation wrong bill stop seem spiderman save day,True,5,49,67,99
Captain America,immun fatigu metabol prevent lactic acid buildup allow endless fight,Male,local camera act messag choic call save appli rise window religi eat captain america save day,True,7,83,90,89
Hulk,superhuman strength anger durabl heal factor,Male,floor includ food heart still build dark sell hulk save day,True,5,98,40,42
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,lot husband alway upon doctor variou blue intern especi offic black widow save day,True,7,49,81,96
Spiderman,great power come great respons leap extrem distanc flip effortlessli,Male,matter manag ball alway focu economi structur offer spiderman save day,True,1,61,70,98
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,gun choic prepar effect talk interest hand everi quit sens includ six lot ironman save day,True,10,75,98,54
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,main project anim hous account feel deep case eight foreign account section compar region spiderman save day,True,3,61,77,100
Ironman,geniu engin energi weapon missil launcher,Male,expect attorney cover magazin foreign process realli charg ironman save day,True,9,55,98,71
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,properti garden mind half polit call black widow save day,True,7,59,87,93
Ironman,nanotechnolog suit super strength flight,Male,alway other similar person success feel nearli ironman save day,True,8,74,98,75
Ironman,nanotechnolog suit super strength flight,Male,avoid rich toward popular lead enough anyon spend system growth qualiti intern break ironman save day,True,8,87,97,66
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,outsid rule watch foot econom notic line black widow save day,True,5,57,89,91
Captain America,enhanc reflex see object slow motion dodg bullet,Male,law foreign court bill organ attack smile captain america save day,True,9,91,72,84
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,son televis garden base certain valu child mani year hulk save day,True,4,99,56,65
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,produc structur summer kitchen admit across alreadi grow point news impact often bag today necessari black widow save day,True,6,54,82,90
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,small present recent thought sit identifi cultur feel alreadi free rise scienc call yeah exist behavior hulk save day,True,2,96,51,38
Black Widow,biochem enhanc longev red room serum slow age boost immun system,Female,find could realli mr former articl light black widow save day,False,4,57,91,83
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,song differ part wall requir rememb everi time surfac learn design minut perhap account ironman save day,True,8,77,99,52
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,attack loss final laugh full help strong street car catch pm hulk save day,True,5,98,46,55
Spiderman,adher surfac via static silk format,Male,data plant enough major town suffer begin interest everybodi side pm spiderman save day,True,3,57,72,89
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,tonight coupl job mind southern rather vote say cultur issu tv spiderman save day,True,6,52,84,89
Captain America,peak human abil vibranium shield,Male,relationship sell scienc treatment across feder state situat captain america save day,True,7,83,86,94
Spiderman,great power come great respons leap extrem distanc flip effortlessli,Male,seven medic blood person success medic current hear claim well spiderman save day,True,6,61,74,93
Ironman,nanotechnolog suit super strength flight,Male,forc network account custom fight perform less option manag signific ironman save day,True,9,86,99,62
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,avoid offer tabl use matter human arm recent black widow save day,True,4,55,74,95
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,score night six sometim explain professor unit hold ironman save day,True,7,78,96,63
Spiderman,,Male,husband avail pictur approach chanc none fight ye spiderman save day,True,3,58,71,95
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,short congress turn east marriag behind forget expect wonder busi health upon black food ahead hulk save day,True,4,98,49,49
Ironman,nanotechnolog suit super strength flight,Male,polit qualiti attent none particular clearli goal defens secur ironman save day,True,10,61,99,63
Captain America,pound snap steel chain,Male,instead crime custom train size game properti captain america save day,True,7,86,82,72
Captain America,indomit expert tactician shield throw,Male,larg collect us shake tough compani happen card govern anyth mani color wide full quickli stori captain america save day,True,6,84,78,75
Captain America,enhanc strength endur martial art expert,Male,crime centuri mind occur task measur campaign someon feel pull natur collect land break product captain america save day,True,7,89,74,89
Black Widow,peak human condit espionag wrist stinger,Female,face claim hear includ need eat add suddenli sens money black widow save day,True,6,45,82,92
Spiderman,,Male,respons servic along attent piec tv young section better plant kitchen realli tough spiderman save day,True,5,65,86,90
Hulk,superhuman strength anger durabl heal factor,Male,store process law western order accept wide prevent week foot rule whatev notic hulk save day,True,4,98,31,75
Spiderman,,Male,behavior provid meet adult final week game court choic fast small medic music spiderman save day,True,6,45,66,86
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,even inform treatment green face morn view hulk save day,True,5,98,39,45
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,live top pull includ time reflect sever mr skin power back stori public public good hulk save day,True,3,95,24,63
Captain America,immun fatigu metabol prevent lactic acid buildup allow endless fight,Male,colleg fast attent offic govern author repres leav worri without shake kind captain america save day,False,8,83,82,76
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,record secur feder reduc team republican plan cut person fact gener public wonder practic ironman save day,True,9,77,99,67
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,respons blue increas unit studi open sign late probabl ironman save day,True,8,90,99,62
Captain America,enhanc strength endur martial art expert,Male,especi decid secur recogn accord collect man best similar captain america save day,True,8,91,83,73
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,task accept goal send tabl spiderman save day,True,7,63,66,97
Hulk,gamma radiat empow massiv leap anger,Male,play woman remain event product focu decis foreign trial card two hulk save day,True,4,98,22,54
Ironman,power armor suit repulsor flight,Male,anim summer group face rate paper exampl unit high state air choos detail section someon ironman save day,True,10,89,96,54
Captain America,indomit expert tactician shield throw,Male,televis receiv accept languag fire alway offer present captain america save day,True,7,89,76,80
Spiderman,great power come great respons leap extrem distanc flip effortlessli,Male,signific take futur skin environ abl rise studi oil process tend spiderman save day,True,4,50,86,89
Ironman,geniu engin energi weapon missil launcher,Male,perform red industri togeth memori pay execut size marriag particip sing ironman save day,True,10,43,100,63
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,mr gener necessari lay focu countri recent occur simpli analysi seat relat spiderman save day,True,4,61,85,89
Ironman,geniu engin energi weapon missil launcher,Male,region miss stop strong enjoy name commun presid ironman save day,False,7,67,100,66
Hulk,power angryinfinit strength proport anger thunder clap,Male,life bad soon feel worker rang feel eat notic necessari hulk save day,True,8,95,41,42
Black Widow,expert marksman flawless accuraci firearm throw knive rang weapon,Female,finish southern page result respons popul never world let appli peac market job well black widow save day,True,3,60,74,92
Captain America,pound snap steel chain,Male,thank plant nearli stage determin environment ok space send choos discuss captain america save day,True,6,83,87,81
Captain America,vibranium shield masteri perfect ricochet physic knowledg offens defens throw,Male,learn health need class job expect process quit plant captain america save day,True,5,78,76,86
Ironman,power armor suit repulsor flight,Male,elect accept season accord mission mind heart day sound ironman save day,True,10,74,97,71
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,nice maintain present cultur pattern save east author sinc food becom public interest ironman save day,True,8,59,98,50
Hulk,superhuman strength anger durabl heal factor,Male,build movement yard four field area young posit half tabl futur subject set face hulk save day,True,2,94,42,56
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,public though howev style success door number matter build profession oil simpl hulk save day,True,4,100,43,53
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,matter note happi effort bill reveal direct ironman save day,True,7,63,97,79
Captain America,went past leader ship qualiti worthi among aveng lift thor hammer,Male,color set act goal listen line captain america save day,True,6,80,85,77
Hulk,gamma radiat empow massiv leap anger,Male,former good within far cold reason fight size employe pictur offici hulk save day,True,3,98,49,56
Captain America,enhanc reflex see object slow motion dodg bullet,Male,piec talk bring garden get yet outsid miss effort busi paper movi militari set captain america save day,True,6,86,72,77
Spiderman,adher surfac via static silk format,Male,tabl prepar shoulder result democrat later direct fund spiderman save day,True,6,58,74,90
Spiderman,adher surfac via static silk format,Male,left approach million perform materi kind appear environ capit explain thing machin ahead pictur son spiderman save day,True,8,68,64,93
Black Widow,peak human condit espionag wrist stinger,Female,dinner section thousand soldier noth yard address black widow save day,True,7,62,87,93
Captain America,indomit expert tactician shield throw,Male,reach could centuri interview lawyer popul right case seek activ captain america save day,True,7,83,74,74
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,profession team foot live window music even ironman save day,True,10,63,95,77
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,practic ground least tree trade style suffer situat model black widow save day,True,4,53,74,92
Ironman,power armor suit repulsor flight,Male,teach rang win direct feel season similar fli rock paint becom kid tree imagin ironman save day,True,10,73,98,65
Captain America,indomit expert tactician shield throw,Male,benefit structur profession right analysi mention spring follow phone captain america save day,True,6,78,78,78
Captain America,pound snap steel chain,Male,interest paper field offic whose cut televis loss week growth captain america save day,True,8,89,81,90
Hulk,superhuman strength anger durabl heal factor,Male,beat show challeng instead bring total school knowledg machin hulk save day,True,4,97,60,47
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,war alway camera give attorney probabl cut clear yard turn sign agre black widow save day,True,7,57,80,90
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,simpli move grow end mention market better wonder light style trial spiderman save day,True,4,57,65,91
Black Widow,acrobat combat tactic geniu,Female,leg play best differ rememb determin particularli rock particip leav black widow save day,True,5,57,90,95
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,say unit four institut truth beyond civil end insid role natur forc receiv hulk save day,True,5,95,47,43
Black Widow,master spi martial artist expert marksman,Female,toward reflect along wonder wear partner ball necessari water establish among along medic black widow save day,True,7,57,78,87
Black Widow,biochem enhanc longev red room serum slow age boost immun system,Female,billion sit remain night studi heart million understand opportun black widow save day,True,6,63,82,82
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,news cultur make quickli differ score beat agenc benefit almost cell black widow save day,True,6,68,80,90
Spiderman,adher surfac via static silk format,Male,order later develop past road train probabl feel poor suggest intern blue republican spiderman save day,True,4,61,64,89
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,price window career case south team throw receiv us perhap lawyer interest star hulk save day,True,5,100,37,45
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,success televis key issu statement prepar organ feel owner receiv look spiderman save day,True,5,67,86,99
Black Widow,peak human condit espionag wrist stinger,Female,wide husband hope miss instead live focu return feel avoid black widow save day,False,7,49,77,91
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,explain manag candid task outsid yet execut qualiti industri impact certainli hulk save day,True,5,100,27,32
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,agent certainli prove custom seek claim expert economi ironman save day,True,6,69,96,56
Black Widow,biochem enhanc longev red room serum slow age boost immun system,Female,find night brother letter structur beat us black widow save day,True,6,61,83,97
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,mouth husband includ per natur wind futur sport opportun six hulk save day,True,5,98,46,63
Captain America,enhanc strength endur martial art expert,Male,mr without sing sister blood second high captain america save day,True,5,86,87,76
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,posit question especi import sister across treatment posit ironman save day,True,10,65,100,64
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,region goal noth center way student special ironman save day,True,8,72,97,67
Hulk,gamma radiat empow massiv leap anger,Male,strategi pull somebodi son suddenli perform execut see project current paper hulk save day,True,5,96,35,58
Hulk,gamma radiat empow massiv leap anger,Male,child weight question arriv consid requir fear hulk save day,True,2,97,48,56
Hulk,thunderclap slam hand togeth creat shockwav deafen foe blow away target,Male,heavi shake possibl sort continu book contain far produc hulk save day,True,2,97,24,59
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,huge machin church feel discov signific easi even buy six pretti capit scientist establish black widow save day,True,5,53,84,91
Black Widow,acrobat combat tactic geniu,Female,benefit money reason mean rate group govern level leav tree ago short black widow save day,True,6,57,86,97
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,shake person often beat art almost finish summer assum camera tri kind feel hulk save day,True,3,95,42,50
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,front station particip blue reveal avail tv wear black widow save day,True,6,65,96,90
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,medic suddenli subject theori congress best campaign els space sever consum quit ironman save day,True,9,44,100,51
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,tax low keep news court control black widow save day,False,7,66,100,87
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,polit contain kitchen polit abl custom figur hulk save day,True,4,96,14,47
Spiderman,,Male,newspap indic peac simpli train father open spiderman save day,True,8,45,79,88
Spiderman,,Male,mind song risk bad state nation fli bag produc fill spiderman save day,False,4,52,63,95
Ironman,power armor suit repulsor flight,Male,around beat law particip final score scientist budget remain ironman save day,True,9,56,100,79
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,camera final togeth someon team togeth decid econom bill sister imag per spiderman save day,True,2,56,72,91
Spiderman,adher surfac via static silk format,Male,color bad peopl drive tree central leav effect spiderman save day,True,5,55,73,93
Spiderman,adher surfac via static silk format,Male,let eight hard paper white respons sing clearli find offici spiderman save day,True,5,71,73,100
Ironman,power armor suit repulsor flight,Male,throw relat issu presid parent approach former window import never understand music produc father benefit ironman save day,True,8,70,98,48
Captain America,immun fatigu metabol prevent lactic acid buildup allow endless fight,Male,challeng pretti difficult state colleg bodi big ground captain america save day,True,3,82,76,88
Ironman,power armor suit repulsor flight,Male,particularli televis road low maintain thought key pressur actual ironman save day,True,10,59,98,58
Black Widow,master spi martial artist expert marksman,Female,break bed role control option whole short small black widow save day,True,6,56,78,93
Black Widow,expert marksman flawless accuraci firearm throw knive rang weapon,Female,point think high woman bad see institut wear either present third student item black widow save day,True,6,40,85,100
Black Widow,multilingu fluent dozen languag global undercov oper,Female,life rich everybodi word group task give relationship hospit artist black widow save day,True,6,75,76,96
Ironman,geniu engin energi weapon missil launcher,Male,go skin result answer inform coach increas ironman save day,True,8,48,94,71
Black Widow,multilingu fluent dozen languag global undercov oper,Female,caus natur safe profession dog author black widow save day,True,5,52,92,82
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,specif result loss long decis claim street amount claim pictur alway ironman save day,True,8,58,94,69
Captain America,went past leader ship qualiti worthi among aveng lift thor hammer,Male,accept thank attorney court plant center daughter begin stori use door back right find return captain america save day,True,6,84,95,73
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,confer career polit role white hear larg true help bag spiderman save day,True,4,56,67,88
Black Widow,master spi martial artist expert marksman,Female,guy discov water hear beyond close plant peac success seem charg walk particip teach black widow save day,True,6,49,77,92
Hulk,power angryinfinit strength proport anger thunder clap,Male,feel quickli truth view respons trip wrong old particularli member summer hulk save day,False,5,98,47,44
Black Widow,multilingu fluent dozen languag global undercov oper,Female,cultur bring bar cultur democrat maintain notic black widow save day,True,6,55,80,97
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,someon rate listen comput prove amount popul hulk save day,True,6,98,33,71
Ironman,power armor suit repulsor flight,Male,fight secur tough ga includ posit mention claim ironman save day,True,10,65,99,78
Captain America,pound snap steel chain,Male,book expect card insid former program way work captain america save day,True,6,85,83,76
Spiderman,adher surfac via static silk format,Male,public especi american seri like prepar spiderman save day,True,3,59,78,98
Black Widow,heal recov deep wound fractur trauma much faster normal human,Female,forc matter bring nice help histori listen find miss third success western watch black widow save day,False,6,49,84,91
Hulk,gamma radiat empow massiv leap anger,Male,visit polit wall appear voic item yet hulk save day,True,3,96,43,49
Captain America,went past leader ship qualiti worthi among aveng lift thor hammer,Male,short find west maintain third interest captain america save day,True,7,88,72,90
Captain America,master tactician combat strategi battlefield analysi leadership,Male,piec put recent popul end lay race effect weight success activ captain america save day,False,6,86,87,77
Captain America,immun fatigu metabol prevent lactic acid buildup allow endless fight,Male,popular true huge million countri institut captain america save day,True,4,88,76,72
Black Widow,heal recov deep wound fractur trauma much faster normal human,Female,bed relat treatment short need pressur million gun cup church movi teacher black widow save day,True,8,68,85,96
Captain America,enhanc reflex see object slow motion dodg bullet,Male,final wrong religi long captain america save day,True,7,82,73,68
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,cultur right cover larg work avoid budget american evid enough claim suffer accept letter ironman save day,True,8,72,94,68
Captain America,vibranium shield masteri perfect ricochet physic knowledg offens defens throw,Male,babi drive behavior offer experi upon space captain america save day,False,7,81,73,83
Ironman,geniu engin energi weapon missil launcher,Male,board popul bank exactli step cultur safe phone road throughout support place spend often ironman save day,True,10,73,96,64
Ironman,geniu engin energi weapon missil launcher,Male,pattern educ boy provid note approach seem wrong natur popular ironman save day,True,8,68,96,56
Ironman,nanotechnolog suit super strength flight,Male,view citi rock seat near busi loss feder growth appear project ironman save day,True,9,64,96,69
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,scene countri soon strong mind offici pretti skin main program hulk save day,True,3,96,38,44
Spiderman,,Male,sing industri class current paint appear lose variou spiderman save day,True,5,59,60,94
Black Widow,biochem enhanc longev red room serum slow age boost immun system,Female,land answer leader yard enjoy soldier decid side natur focu husband black widow save day,True,5,53,90,92
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,respond histori activ gener final knowledg night democrat hulk save day,True,5,97,43,49
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,situat littl becom citizen peac us young person art popular red social call ironman save day,True,9,93,99,50
Ironman,geniu engin energi weapon missil launcher,Male,mission inform increas challeng onto serv vote understand none big experi movi ga improv magazin ironman save day,True,8,65,97,68
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,order concern glass clear thu see read expect hit clear occur ironman save day,True,7,56,98,73
Black Widow,acrobat combat tactic geniu,Female,appli suddenli call prove leg sever militari stuff establish worri black widow save day,True,7,58,90,87
Captain America,master tactician combat strategi battlefield analysi leadership,Male,reflect fear foot research televis mr red hour stage situat morn captain america save day,True,6,92,75,89
Hulk,superhuman strength anger durabl heal factor,Male,creat physic share cold follow first suddenli son even recent guy move goal centuri hulk save day,True,6,99,32,54
Captain America,master tactician combat strategi battlefield analysi leadership,Male,type simpli task road feder spring treatment captain america save day,True,7,83,78,84
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,also green catch happen old specif begin ironman save day,True,9,83,95,63
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,total rate movement door kind account whether truth feel view seri hulk save day,True,3,100,30,57
Black Widow,multilingu fluent dozen languag global undercov oper,Female,kid especi structur fall gun lay secur break drop run gun black widow save day,True,8,63,86,96
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,stay perhap particularli campaign benefit health would newspap hand certain spiderman save day,True,5,55,75,94
Ironman,repulsor blast cyberpath interfac unibeam devast concentr energi blast emit chest reactor,Male,stock determin bad person might son parti realli even possibl mother especi could ironman save day,True,9,79,97,58
Ironman,nanotechnolog suit super strength flight,Male,magazin join far recent coupl cost girl ironman save day,True,8,58,97,58
Black Widow,acrobat combat tactic geniu,Female,involv toward result kind polit open play sens yeah edg imagin establish piec forget low exist black widow save day,True,6,51,90,90
Captain America,vibranium shield masteri perfect ricochet physic knowledg offens defens throw,Male,whole join tree statement night throw cup reveal captain america save day,True,7,78,82,79
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,focu nice current democrat black widow save day,True,6,53,85,90
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,money environ recent approach relationship perform evid data black widow save day,True,5,48,90,100
Captain America,enhanc strength endur martial art expert,Male,program smile among decis social heart mind captain america save day,True,7,80,88,84
Spiderman,great power come great respons leap extrem distanc flip effortlessli,Male,allow enjoy televis beauti tend bring speech decid scene readi spiderman save day,True,4,65,75,95
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,attack energi alway art smile media pick may inde reduc bar mr pattern everyon final memori ironman save day,True,8,80,100,60
Hulk,gamma radiat empow massiv leap anger,Male,bodi role pick would low read valu worri hulk save day,True,4,100,36,45
Ironman,power armor suit repulsor flight,Male,also worker pass minut repres watch star polici keep cut prevent sound experi almost ironman save day,True,7,75,100,74
Ironman,nanotechnolog suit super strength flight,Male,quit act receiv stage write institut car audienc room bill finish thing case similar ironman save day,True,7,63,97,66
Captain America,peak human abil vibranium shield,Male,fill thousand number hear nearli care base know captain america save day,True,6,81,84,88
Spiderman,intellect web shooter,Male,whose far sound life away senior difficult put purpos howev suffer newspap bed spiderman save day,True,6,66,84,95
Spiderman,great power come great respons leap extrem distanc flip effortlessli,Male,voic boy wife condit enter board rock finish paper memori spiderman save day,True,4,50,82,98
Hulk,power angryinfinit strength proport anger thunder clap,Male,wish dog late eat old posit beat light window huge hulk save day,False,5,98,41,52
Captain America,vibranium shield masteri perfect ricochet physic knowledg offens defens throw,Male,togeth improv tree accord show econom like captain america save day,True,8,81,72,73
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,manag voic get recent explain court ga hulk save day,True,2,100,33,59
Black Widow,biochem enhanc longev red room serum slow age boost immun system,Female,past gun process site special part buy black widow save day,True,4,66,83,98
Hulk,gamma radiat empow massiv leap anger,Male,busi million mani militari analysi return anoth truth mother first hot hulk save day,True,5,96,37,38
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,south trip none whose newspap care drug data posit spiderman save day,True,4,55,74,92
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,play forget home upon actual futur get know left sea decis recent pull black widow save day,True,4,60,84,92
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,million health machin futur treat bill choic determin could hulk save day,True,3,95,33,60
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,field sure area similar specif move team radio scene black widow save day,True,8,48,79,96
Spiderman,intellect web shooter,Male,meet event strong woman necessari two meet tell spiderman save day,True,3,59,52,90
Spiderman,adher surfac via static silk format,Male,cours kid industri includ data mayb particularli like spiderman save day,True,6,56,60,90
Black Widow,expert marksman flawless accuraci firearm throw knive rang weapon,Female,age smile hope memori cover tree leader rich dream line requir black widow save day,True,7,65,80,88
Black Widow,peak human condit espionag wrist stinger,Female,spend babi camera congress analysi glass pretti factor paper black widow save day,True,8,54,79,93
Captain America,went past leader ship qualiti worthi among aveng lift thor hammer,Male,help everybodi garden one long pull beyond articl captain america save day,True,7,88,80,88
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,sourc statement like outsid enjoy ironman save day,True,9,52,96,63
Captain America,enhanc reflex see object slow motion dodg bullet,Male,detail elect live today career movement rise bed realiti captain america save day,True,5,89,81,83
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,final howev major produc name continu ironman save day,True,10,75,96,69
Black Widow,master spi martial artist expert marksman,Female,analysi behavior confer charact find push lose end black widow save day,True,3,50,87,89
Captain America,enhanc strength endur martial art expert,Male,scientist howev rang close seek singl husband captain america save day,True,8,83,78,78
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,learn forward beauti approach newspap offer ironman save day,True,7,72,99,68
Captain America,peak human abil vibranium shield,Male,execut must assum other seri final necessari point allow especi captain america save day,True,6,83,70,77
Black Widow,elit spi tactician master psycholog manipul interrog stealth hack,Female,window store build requir call girl laugh network vote black widow save day,True,5,54,93,88
Spiderman,regen heal recov broken bone injuri rapidli enhanc durabl,Male,deep someth futur red everybodi act way beat result major serv real posit spiderman save day,True,3,61,75,90
